mu0ListLP,EqnLx,RLx,ELx1,ELx2,EqnLy,RLy,ELy1,ELy2
1.0,-0.003736595882768477,-0.0036246960047632286,-0.002735685031611981,-0.008307187962457436,-13.035576851447592,-4.109102777804051,-8.866261499905374,-8.701996742482685
1.009999999999999,-0.01457427177372064,-0.011121092342285054,-0.014406016573137457,-0.0650344225061795,-6.971617663772769,-4.059119849811137,-7.806033860755987,-7.6836565098468395
1.0199999999999978,-0.02929550313954003,-0.026087859516394002,-0.027691378069879334,-0.14146637176118224,-5.880037251544988,-3.997603027289438,-6.860707142717438,-6.766532194827378
1.0299999999999967,-0.04409654356196147,-0.027497008288646645,-0.041244438624375934,-0.15917884347571154,-5.267004547159575,-3.941393159937901,-6.016652064674153,-5.972902430017068
1.0399999999999956,-0.05904998946118791,-0.0356185907861743,-0.05424919699009054,-0.1733146564937411,-4.838146713438404,-3.8986246060454173,-5.438761120724469,-5.399586224580335
1.0499999999999945,-0.0741600460239758,-0.04619684795133858,-0.06660228084493892,-0.17180250978494552,-4.50798957769928,-3.8477883856090904,-4.983360348302898,-5.009196270046113
1.0599999999999934,-0.0894300341581217,-0.05581790916452159,-0.0802518559133166,-0.19522273096739404,-4.239495106284205,-3.797555776330607,-4.623115168846607,-4.688687682071674
1.0699999999999923,-0.104863375709925,-0.04685928374317761,-0.08965788805864261,-0.15033691442521555,-4.013215251094937,-3.7480705848910314,-4.331210047433068,-4.410885825959488
1.0799999999999912,-0.12046360351153318,-0.052800797606654744,-0.1061524323843399,-0.15194035167487221,-3.8176614565424356,-3.6998494346657242,-4.085729578828133,-4.178871254951809
1.08999999999999,-0.1362343662551928,-0.06590639387793856,-0.11381291586581815,-0.22068018338955364,-3.6454781674521146,-3.6524150602483942,-3.8748011127121393,-3.9720700284912214
1.099999999999989,-0.15217943361529881,-0.09181018488897306,-0.12491019315298199,-0.18995748211122915,-3.4916709856089723,-3.6058445098666274,-3.688273889065863,-3.7911907150992796
1.1099999999999879,-0.1683027016583578,-0.06557313339709116,-0.1303176394146634,-0.22542761398180197,-3.3526930657157017,-3.4867074955478956,-3.524558788195331,-3.6280961276330608
1.1199999999999868,-0.18460819855540436,-0.0707680056594204,-0.14624851060215782,-0.23307106043192913,-3.225934670157532,-3.4554206618595162,-3.375780724517536,-3.4804067141352273
1.1299999999999857,-0.20110009062436798,-0.11787399166181736,-0.14606639172380978,-0.25207613225251196,-3.109419602633002,-3.413730266162975,-3.2412228743436815,-3.3485304174536257
1.1399999999999846,-0.21778268871927073,-0.0827916174362209,-0.15585054922488903,-0.272012318144866,-3.0016154067679275,-3.363538774288197,-3.1163720689498255,-3.2261984699643063
1.1499999999999835,-0.23466045499434143,-0.08988300782060772,-0.16203908694221092,-0.29044088262192536,-2.901309716388038,-3.316578930231849,-3.00578137703491,-3.1110203128202767
1.1599999999999824,-0.2517380100684983,-0.09713377879478804,-0.1769646442930025,-0.31447515711036383,-2.8075268842424164,-3.2698650901592985,-2.8988150475042778,-3.0083198409616454
1.1699999999999813,-0.2690201406180127,-0.11207062253937046,-0.18736080205717703,-0.3388053707452745,-2.719470102968605,-3.2241609070716892,-2.799963547371956,-2.902292192739422
1.1799999999999802,-0.2865118074309357,-0.11474584913903552,-0.20192012235295625,-0.35348335907014905,-2.636480201285166,-3.178988631926666,-2.7018840773593573,-2.8057284058288774
1.189999999999979,-0.30421815395434326,-0.11579411675809231,-0.21413144950783097,-0.37471949732688103,-2.55800566310998,-3.0690565556311578,-2.613041967507251,-2.7219577203854137
1.199999999999978,-0.322144515375383,-0.12301061740891749,-0.22234706073954735,-0.3976065185470764,-2.483580390114912,-3.00243303598118,-2.5308005517952594,-2.63883884918872
1.2099999999999769,-0.34029642826859924,-0.1352690969695932,-0.23763393214197032,-0.41863462228975845,-2.4128069251822413,-2.9597369646379286,-2.454887065739114,-2.5601927307930152
1.2199999999999758,-0.35867964086252424,-0.14754046100495444,-0.23172968174652467,-0.44356888199016203,-2.345343602566271,-2.912299675575691,-2.3753208401612933,-2.4895336586860304
1.2299999999999747,-0.37730012396887436,-0.15109305877902976,-0.23977569658665893,-0.4662714518173071,-2.2808945710074675,-2.866800272591267,-2.3050827815836206,-2.418372569221177
1.2399999999999736,-0.39616408262106995,-0.1635481013199945,-0.264284535702322,-0.481553271229361,-2.219201951880842,-2.720270045182902,-2.237096147888393,-2.3501496313636636
1.2499999999999725,-0.4152779684917484,-0.16686896268754353,-0.26142917224354084,-0.5239305703238859,-2.1600396065359697,-2.6783589088433803,-2.174878672216358,-2.2869735243957194
1.2599999999999714,-0.43464849313536275,-0.17488369766581083,-0.2904576294325531,-0.5322552185562492,-2.1032081321432177,-2.6291053757780665,-2.114640028925151,-2.2254671969850026
1.2699999999999703,-0.45428264214122926,-0.1854617862103906,-0.3113060113050835,-0.5595815849475037,-2.0485308064554997,-2.584064533176689,-2.0512286496908265,-2.1692357494588985
1.2799999999999692,-0.4741876902508395,-0.19630264459032937,-0.2871062680086836,-0.5858138407096316,-1.9958502734259498,-2.4249798523757287,-1.9948907449038384,-2.1122145576000326
1.289999999999968,-0.4943712175506696,-0.2019906017161236,-0.3050931810383273,-0.6082469137228746,-1.9450258129732334,-2.3860166241626333,-1.9419949008912187,-2.0576565012668238
1.299999999999967,-0.51484112679055,-0.21293031934446538,-0.3367350650920194,-0.6276047219603771,-1.8959310755449654,-2.337602868396081,-1.891026982394771,-2.0040194120289856
1.3099999999999659,-0.5356056619720602,-0.2063484165718877,-0.33634952298444765,-0.6557781029071308,-1.8484521896441997,-2.1723234473518493,-1.8398354864522017,-1.9517891408752048
1.3199999999999648,-0.5566734282761777,-0.21209833503816958,-0.32041773813912056,-0.9563216548995332,-1.802486170979793,-2.135926729467012,-1.7948413853334737,-1.903461328052152
1.3299999999999637,-0.5780534134771064,-0.21983149226182866,-0.36271450635737895,-0.7072396116115547,-1.7579395773306057,-2.090864326666941,-1.7513426733639978,-1.8566359556670369
1.3399999999999626,-0.5997550109662517,-0.2457732456628712,-0.39301703252181425,-0.7424480718788398,-1.7147273649429928,-1.9326317425032602,-1.705608530898607,-1.8096117713375244
1.3499999999999615,-0.6217880445295884,-0.25596504307017653,-0.39774431964608026,-0.7573597416305741,-1.6727719112798793,-1.890554701848898,-1.6615307533436763,-1.7640468598005825
1.3599999999999604,-0.6441627950490256,-0.2436624262957761,-0.43180879431548863,-0.7813117654162375,-1.6320021759028898,-1.744241273655254,-1.6205404083370343,-1.720472647447378
1.3699999999999593,-0.6668900293128667,-0.27060455182864346,-0.43501033735262523,-0.802907368911104,-1.5923529767003435,-1.599644921454718,-1.5741848925540765,-1.6825365423374088
1.3799999999999581,-0.6899810311225201,-0.2813012209885806,-0.465557336855262,-0.8235479527457295,-1.5537643629424491,-1.56301850221279,-1.5347967379228724,-1.6421376456670842
1.389999999999957,-0.7134476349365045,-0.28870708152075997,-0.46523934093381664,-0.8706268275582164,-1.5161810700235163,-1.4392053644547742,-1.4955210599453328,-1.600670220786949
1.399999999999956,-0.7373022622869351,-0.2858096078189671,-0.4749109142920749,-0.8817015643692016,-1.4795520434429008,-1.3310181701718469,-1.4585576887086438,-1.5629047224666357
1.4099999999999548,-0.7615579612792682,-0.30459895397730147,-0.49141406849923097,-0.912919339205866,-1.4438300217348632,-1.2579133511490002,-1.425507610709687,-1.5252171322871633
1.4199999999999537,-0.7862284494368359,-0.31132059562784187,-0.5027267863033476,-0.9464503666879607,-1.4089711697985667,-1.1947586776159023,-1.3883613359238052,-1.4879620784746108
1.4299999999999526,-0.8113281603006228,-0.31787669117521045,-0.5448141226485177,-0.961213529420675,-1.374934755491723,-1.137655360291251,-1.3525944479891687,-1.4511596829991291
1.4399999999999515,-0.8368722941465834,-0.3265312016146875,-0.5478063627995543,-1.003934277868973,-1.3416828635031912,-1.1105985882784934,-1.3194842620537353,-1.4159726345718766
1.4499999999999504,-0.8628768732701055,-0.3311556056137616,-0.5657773029404991,-1.03268685338817,-1.3091801414639639,-1.0594854478902789,-1.2889655966928282,-1.3819792317329371
1.4599999999999493,-0.8893588023435886,-0.33679062208307103,-0.5616783114354976,-1.074624048879137,-1.2773935740336064,-1.0150521529718932,-1.256344615407774,-1.3483131118785898
1.4699999999999482,-0.9163359344329942,-0.34561422793384067,-0.6084044498310649,-1.0844969709258927,-1.2462922813427104,-0.9717930945591562,-1.224132436883821,-1.315538894051617
1.4799999999999471,-0.9438271432822744,-0.3424016230501871,-0.6158012516620235,-1.1285808538649293,-1.215847338706733,-0.9319342298780542,-1.1944013660725399,-1.283641701752719
1.489999999999946,-0.9718524026430119,-0.34967250228763036,-0.6262543141858022,-1.139384803992131,-1.1860316149729584,-0.8947471304194754,-1.1651489229786103,-1.2520707605425079
1.499999999999945,-1.0004328734456607,-0.3587690490018683,-0.6769115460234663,-1.1712276497733562,-1.1568196272363631,-0.8601902596577227,-1.1373936748517668,-1.2217670734951793
1.5099999999999438,-1.0295909997892796,-0.3576448638441716,-0.6932017427131915,-1.1965893293568166,-1.1281874099747886,-0.816520172537003,-1.1065058487307826,-1.191108844213097
1.5199999999999427,-1.0593506148332354,-0.3638356309997517,-0.7113255754307533,-1.2157749399651427,-1.1001123969194733,-0.787332909445338,-1.0793350836428963,-1.160864319197665
1.5299999999999416,-1.089737057835668,-0.3663479328739132,-0.8144170498461212,-1.242612660649633,-1.0725733142020568,-0.7594526731209443,-1.054506636268436,-1.1324250100770148
1.5399999999999405,-1.1207773037935136,-0.3547983208001221,-0.7581736495257824,-1.2788818239161146,-1.0455500835104892,-0.733142668916151,-1.0262099007653511,-1.1031947527450465
1.5499999999999394,-1.1525001073400742,-0.3438713826465324,-0.7912484930264634,-1.3106594882726628,-1.0190237341494743,-0.7082120390195079,-0.9984107110712122,-1.0753677878527932
1.5599999999999383,-1.1849361628020953,-0.3592531669744002,-0.5727543811120269,-1.6501618402083902,-0.9929763230406518,-0.6771601343375363,-0.9747938814720803,-1.04725980330903
1.5699999999999372,-1.2181182827023385,-0.35567242301106344,-0.8221046743396888,-1.3578062102409152,-0.9673908618175509,-0.6550227054493991,-0.9485301528848445,-1.0202888820614464
1.5799999999999361,-1.2520815972401873,-0.3660581961588999,-0.8494424345815628,-1.4050292925061505,-0.942251250273401,-0.6338379435505631,-0.9213636873632299,-0.9969841149823051
