mu0,ReW0E1,ReW0E2,ReW0E3,ImW0E1,ImW0E2,ImW0E3,absW0E1,absW0E2,absW0E3,ReW1E1,ReW1E2,ReW1E3,ImW1E1,ImW1E2,ImW1E3,absW1E1,absW1E2,absW1E3
1.0,2.0010000980619225,0.9999,-0.7493579483541015,0.0,0.0,0.0,2.0010000980619225,0.9999,0.7493579483541015,-5004.0001,-0.0009999,1.6365661168129324,0.0,0.0,0.0,5004.0001,0.0009999,1.6365661168129324
1.005,2.0010051014196506,0.9948995000000088,-0.7472650042504798,0.0,0.0,0.0,2.0010051014196506,0.9948995000000088,0.7472650042504798,-5004.020100500001,0.003495100499999879,1.6344692268895287,0.0,0.0,0.0,5004.020100500001,0.003495100499999879,1.6344692268895287
1.0099999999999998,2.001010099093037,0.9898989999999885,-0.7451683515662857,0.0,0.0,0.0,2.001010099093037,0.9898989999999885,0.7451683515662857,-5004.040101,0.007990100999999805,1.6323686283808336,0.0,0.0,0.0,5004.040101,0.007990100999999805,1.6323686283808336
1.0149999999999997,2.001015100177028,0.9848984999999941,-0.7430679706168783,0.0,0.0,0.0,2.001015100177028,0.9848984999999941,0.7430679706168783,-5004.060101499999,0.012485101499999676,1.6302643016119218,0.0,0.0,0.0,5004.060101499999,0.012485101499999676,1.6302643016119218
1.0199999999999996,2.001020102397888,0.9798979999999652,-0.7409638415577058,0.0,0.0,0.0,2.001020102397888,0.9798979999999652,0.7409638415577058,-5004.080102,0.016980101999999626,1.6281562267329672,0.0,0.0,0.0,5004.080102,0.016980101999999626,1.6281562267329672
1.0249999999999995,2.0010251034818793,0.9748975000000228,-0.7388559443633813,0.0,0.0,0.0,2.0010251034818793,0.9748975000000228,0.7388559443633813,-5004.1001025,0.0214751024999995,1.6260443837160854,0.0,0.0,0.0,5004.1001025,0.0214751024999995,1.6260443837160854
1.0299999999999994,2.0010301011552656,0.9698970000000112,-0.7367442588229163,0.0,0.0,0.0,2.0010301011552656,0.9698970000000112,0.7367442588229163,-5004.120103,0.025970102999999457,1.6239287523519523,0.0,0.0,0.0,5004.120103,0.025970102999999457,1.6239287523519523
1.0349999999999993,2.0010351045129937,0.9648965000000342,-0.7346287645461178,0.0,0.0,0.0,2.0010351045129937,0.9648965000000342,0.7346287645461178,-5004.1401035,0.030465103499999296,1.6218093122550945,0.0,0.0,0.0,5004.1401035,0.030465103499999296,1.6218093122550945
1.0399999999999991,2.0010401033232483,0.9598959999999879,-0.7325094409624235,0.0,0.0,0.0,2.0010401033232483,0.9598959999999879,0.7325094409624235,-5004.160104,0.03496010399999922,1.6196860428516182,0.0,0.0,0.0,5004.160104,0.03496010399999922,1.6196860428516182
1.044999999999999,2.0010451032703713,0.9548955000000109,-0.7303862673169335,0.0,0.0,0.0,2.0010451032703713,0.9548955000000109,0.7303862673169335,-5004.1801045,0.03945510449999913,1.6175589233860688,0.0,0.0,0.0,5004.1801045,0.03945510449999913,1.6175589233860688
1.049999999999999,2.001050105491231,0.9498950000000339,-0.7282592226631122,0.0,0.0,0.0,2.001050105491231,0.9498950000000339,0.7282592226631122,-5004.200105000001,0.04395010499999905,1.6154279329105223,0.0,0.0,0.0,5004.200105000001,0.04395010499999905,1.6154279329105223
1.0549999999999988,2.0010551065752225,0.9448945000000569,-0.7261282858580105,0.0,0.0,0.0,2.0010551065752225,0.9448945000000569,0.7261282858580105,-5004.2201055,0.04844510549999898,1.6132930502853609,0.0,0.0,0.0,5004.2201055,0.04844510549999898,1.6132930502853609
1.0599999999999987,2.0010601042486087,0.9398940000000799,-0.723993435584106,0.0,0.0,0.0,2.0010601042486087,0.9398940000000799,0.723993435584106,-5004.240106,0.05294010599999886,1.611154254185291,0.0,0.0,0.0,5004.240106,0.05294010599999886,1.611154254185291
1.0649999999999986,2.001065107606337,0.934893500000103,-0.7218546502983152,0.0,0.0,0.0,2.001065107606337,0.934893500000103,0.7218546502983152,-5004.260106499999,0.05743510649999875,1.6090115230794408,0.0,0.0,0.0,5004.260106499999,0.05743510649999875,1.6090115230794408
1.0699999999999985,2.0010701064165914,0.929893000000126,-0.7197119082853889,0.0,0.0,0.0,2.0010701064165914,0.929893000000126,0.7197119082853889,-5004.2801070000005,0.061930106999998645,1.6068648352464545,0.0,0.0,0.0,5004.2801070000005,0.061930106999998645,1.6068648352464545
1.0749999999999984,2.001075107500583,0.9248925000000796,-0.7175651876238054,0.0,0.0,0.0,2.001075107500583,0.9248925000000796,0.7175651876238054,-5004.300107499999,0.06642510749999853,1.6047141687609257,0.0,0.0,0.0,5004.300107499999,0.06642510749999853,1.6047141687609257
1.0799999999999983,2.0010801063108374,0.9198920000000332,-0.7154144661758159,0.0,0.0,0.0,2.0010801063108374,0.9198920000000332,0.7154144661758159,-5004.320108,0.0709201079999985,1.6025595014931542,0.0,0.0,0.0,5004.320108,0.0709201079999985,1.6025595014931542
1.0849999999999982,2.001085107394829,0.9148915000001256,-0.7132597216140637,0.0,0.0,0.0,2.001085107394829,0.9148915000001256,0.7132597216140637,-5004.3401085000005,0.07541510849999836,1.6004008111091221,0.0,0.0,0.0,5004.3401085000005,0.07541510849999836,1.6004008111091221
1.089999999999998,2.00109010847882,0.9098910000000793,-0.7111009313917795,0.0,0.0,0.0,2.00109010847882,0.9098910000000793,0.7111009313917795,-5004.360109,0.07991010899999829,1.598238075065113,0.0,0.0,0.0,5004.360109,0.07991010899999829,1.598238075065113
