mu0ListLP,EqnLx,ELx1,ELx2,EqnLy,ELy1,ELy2
2.3199999999998546,-1.6428106148473198,-1.3311114931306172,-1.9848182369907563,-1.2242390982194626,inf,inf
2.3299999999998535,-1.5984437997198935,-1.2642407688655128,-2.0016107950036517,-1.2108189725729452,inf,inf
2.3399999999998524,-1.55540077639986,-1.228937288183626,-1.9536763065031224,-1.1975225329173067,inf,inf
2.3499999999998513,-1.513604831211122,-1.1813011895823435,-1.907015349532232,-1.1843475201646223,inf,inf
2.35999999999985,-1.4729857314541288,-1.1989953666423874,-1.9573429766195174,-1.1712917365596345,inf,inf
2.369999999999849,-1.433479015324637,-1.0830246274518562,-1.8076910690926884,-1.1583530434794642,inf,inf
2.379999999999848,-1.3950253764911507,-1.08937500084364,-1.7971904963616088,-1.1455293593311147,inf,inf
2.389999999999847,-1.3575701285928379,-1.0110829087347364,-1.7288512982321123,-1.132818657541596,inf,inf
2.399999999999846,-1.3210627374431225,-1.0438622860412352,-1.7125956700552105,-1.1202189646358176,inf,inf
2.4099999999998447,-1.2854564111102615,-0.9468263207627468,-1.6726184748448014,-1.1077283583976973,inf,inf
2.4199999999998436,-1.250707739245839,-0.9105538898258989,-1.6245529355643145,-1.0953449661101793,inf,inf
2.4299999999998425,-1.216776374898568,-0.9683637941216217,-1.601515171550638,-1.0830669628701601,inf,inf
2.4399999999998414,-1.1836247529090238,-0.9242871344539213,-1.5650207970028516,-1.0708925699745069,inf,inf
2.4499999999998403,-1.1512178398929493,-0.8533295004650386,-1.497905255434244,-1.05882005337361,inf,inf
2.459999999999839,-1.1195229117222663,-0.8338246900567111,-1.4909972282970376,-1.0468477221891022,inf,inf
2.469999999999838,-1.0885093549623845,-0.8126482082819972,-1.4796745784948337,-1.0349739272925829,inf,inf
2.479999999999837,-1.0581484891061375,-0.799532725335874,-1.443793838045326,-1.023197059942345,inf,inf
2.489999999999836,-1.0284134072463063,-0.7169356495018981,-1.3979613215036417,-1.011515550475303,inf,inf
2.499999999999835,-0.9992788327576847,-0.7730015637265466,-1.3482661606149042,-0.9999278670514551,inf,inf
2.5099999999998337,-0.9707209902014534,-0.6699015331742982,-1.3491317492966968,-0.9884325144483584,inf,inf
2.5199999999998326,-0.9427174887759896,-0.6455289258159498,-1.2759783268129232,-0.977028032903263,inf,inf
2.5299999999998315,-0.9152472168046821,-0.6676795173251507,-1.2490439518786478,-0.9657129970006503,inf,inf
2.5399999999998304,-0.888290246157664,-0.6424736110277093,-1.2397928331060866,-0.9544860146030537,inf,inf
2.5499999999998293,-0.8618277453787431,-0.6470099114181922,-1.182179332997649,-0.9433457258231664,inf,inf
2.559999999999828,-0.835841900686319,-0.6002268897608519,-1.1713397824617189,-0.9322908020353295,inf,inf
2.569999999999827,-0.8103158439187007,-0.6118610861350938,-1.1200475046857439,-0.9213199449246063,inf,inf
2.579999999999826,-0.7852335867856515,-0.5564996558440422,-1.1027044302074365,-0.9104318855717408,inf,inf
2.589999999999825,-0.7605799607109341,-0.5387533680407869,-1.0528863877146577,-0.8996253835723884,inf,inf
2.599999999999824,-0.7363405617292914,-0.5229650167262794,-1.039216088736851,-0.8888992261890895,inf,inf
2.6099999999998227,-0.7125016999629109,-0.5177537274268227,-0.9992622831669593,-0.878252227534533,inf,inf
2.6199999999998216,-0.6890503531631146,-0.4910151547405547,-0.9365945569149656,-0.8676832277847403,inf,inf
2.6299999999998205,-0.6659741240217543,-0.4677413445385688,-0.9367085814124877,-0.8571910924208609,inf,inf
2.6399999999998194,-0.6432612007777747,-0.4949456032477106,-0.8930260199892395,-0.8467747114983337,inf,inf
2.6499999999998183,-0.6209003209415471,-0.4518376788566577,-0.8600131762341945,-0.8364329989422555,inf,inf
2.659999999999817,-0.5988807377364351,-0.4419266626527358,-0.8382117954975705,-0.8261648918678117,inf,inf
2.669999999999816,-0.5771921891016496,-0.4299760611965691,-0.829404735929537,-0.8159693499247306,inf,inf
2.679999999999815,-0.5558248689669787,-0.4216273353930849,-0.7811838963153209,-0.805845354664735,inf,inf
2.689999999999814,-0.5347694006239778,-0.391774672847644,-0.7544240837716714,-0.7957919089310334,inf,inf
2.6999999999998128,-0.5140168120332377,-0.3871536710016112,-0.7408828577733373,-0.785808036268938,inf,inf
2.7099999999998117,-0.49355851286210733,-0.36052600562731835,-0.7030043668514071,-0.775892780356735,inf,inf
2.7199999999998106,-0.4733862731257573,-0.36189797572674504,-0.6609846626836887,-0.7660452044559797,inf,inf
2.7299999999998095,-0.45349220333622325,-0.3270957169829666,-0.6507550486190434,-0.7562643908804284,inf,inf
2.7399999999998084,-0.4338687359363538,-0.33744004347573736,-0.6261065810887111,-0.7465494404828424,inf,inf
2.7499999999998073,-0.41450860805268663,-0.2958751474282256,-0.59110273718029,-0.7368994721589694,inf,inf
2.759999999999806,-0.39540484534773057,-0.28642285194981754,-0.568083031344954,-0.7273136223679907,inf,inf
2.769999999999805,-0.37655074692342927,-0.2882311420344832,-0.5363512863561861,-0.7177910446688072,inf,inf
2.779999999999804,-0.35793987121500837,-0.29441525119854534,-0.501711314741328,-0.7083309092715171,inf,inf
2.789999999999803,-0.33956602279119896,-0.24576591680970464,-0.48111682225713387,-0.6989324026035141,inf,inf
2.7999999999998018,-0.32142323996633276,-0.2500479838465496,-0.5032930391813133,-0.68959472688962,inf,inf
2.8099999999998007,-0.3035057831798426,-0.26105700178707375,-0.4373546758621989,-0.6803170997457235,inf,inf
2.8199999999997996,-0.28580812410622736,-0.2384680050029922,-0.4082044334585444,-0.6710987537853995,inf,inf
2.8299999999997985,-0.2683249354054982,-0.21503414344654714,-0.390342788292223,-0.6619389362390136,inf,inf
2.8399999999997974,-0.2510510811102579,-0.2201040630069946,-0.3648967512185144,-0.6528369085848458,inf,inf
2.8499999999997963,-0.23398160755308603,-0.2078643157190648,-0.34369107538881655,-0.6437919461917823,inf,inf
2.859999999999795,-0.21711173485436344,-0.20895945824409645,-0.3117943345443771,-0.6348033379731267,inf,inf
2.869999999999794,-0.2004368488724335,-0.16855417671785855,-0.2929110049427738,-0.6258703860511396,inf,inf
2.879999999999793,-0.18395249364113866,-0.172612526572678,-0.27469309771519,-0.6169924054318926,inf,inf
2.889999999999792,-0.16765436421641267,-0.16236773503909407,-0.2667706309118693,-0.6081687236900729,inf,inf
