mu0ListLP,EqnLx,RLx,ELx1,ELx2,EqnLy,RLy,ELy1,ELy2
1.6199999999999317,-1.396543851144018,-0.41450500442463567,-1.044054390662249,-1.5551350622486064,-1.697218134773243,-0.9939516103306337,-1.673039144408812,-1.7727493539168917
1.6299999999999306,-1.4350385298365502,-0.4357043225212483,-1.0775626304431043,-1.6199233345857387,-1.67406027225996,-0.9790637451760534,-1.6498164990454578,-1.7477389488978186
1.6399999999999295,-1.474588565817937,-0.4616881007235456,-1.0571956710060015,-1.6615443399730943,-1.651268270297253,-0.9588369426769946,-1.6293595066906283,-1.7259938064880267
1.6499999999999284,-1.515253460854582,-0.45221009907589915,-1.1139143453819997,-1.6737176159664657,-1.6288307483192026,-0.9443609917470834,-1.6062952573487188,-1.700847535174772
1.6599999999999273,-1.5570978951685701,-0.47778116857126723,-1.2008557889680957,-1.7455537373359558,-1.6067368486485472,-0.9255495759474046,-1.5832807109929086,-1.6780357563643291
1.6699999999999262,-1.6001923463400591,-0.509113446870671,-1.234856759043673,-1.7461771744453334,-1.5849762049465976,-0.9119253968975987,-1.5631982968516585,-1.6563872682043221
1.679999999999925,-1.6446138035633788,-0.517472727495128,-1.2375902512964865,-1.7605430572545546,-1.5635389130074047,-0.8943577430772452,-1.5424465262332503,-1.633884198252178
1.689999999999924,-1.6904465953412537,-0.4671124087041881,-1.2935912420704343,-1.8047665041147665,-1.542415503690251,-0.8814171332543116,-1.5185849653219408,-1.61285140798226
1.699999999999923,-1.7377833530757512,-0.56326256880493,-1.363217386376337,-1.8488138407404946,-1.5215969178052715,-0.865016933874888,-1.4987362756032132,-1.5911134888438043
1.7099999999999218,-1.7867261381450321,-0.6069176176592097,-0.7851296942740664,-2.53909871469939,-1.5010744827855111,-0.8525980547595408,-1.4807179972376183,-1.5711021035373605
1.7199999999999207,-1.8373877669752663,-0.6585823940811013,-0.8050984278830963,-2.375500734014096,-1.4808398909950506,-0.837283378837902,-1.45761608369517,-1.548714777909247
1.7299999999999196,-1.8898933773746713,-0.585047275500277,-1.5681450338384255,-1.973498682876268,-1.460885179537424,-0.8252689408484558,-1.4380455759142128,-1.5295294252748972
1.7399999999999185,-1.9443822907579653,-0.6744802484304468,-0.8376420169752621,-2.6833071993437603,-1.4412027114415,-0.8107927126773399,-1.4181192360286208,-1.5077866906222175
1.7499999999999174,-2.001010240151165,-0.6843793711935447,-0.8344575002205609,-2.6519826232809103,-1.4217851581135779,-0.7987423905724471,-1.3978321625328438,-1.4882369067506895
1.7599999999999163,-2.059952053530645,-0.7474439206451798,-1.6874588577877532,-2.0986293040430777,-1.4026254829547957,-0.7856031188050225,-1.380180207213587,-1.4671867462330344
1.7699999999999152,-2.1214049090620213,-0.7551240182469119,-1.6637603364294618,-2.062042574811778,-1.3837169260522055,-0.7708603294216114,-1.3604128652887173,-1.44846093124179
1.779999999999914,-2.1855923150529564,-0.634433604556655,-0.8682570786119778,-2.7477430792292745,-1.3650529898601644,-0.7604243166500808,-1.343048464961703,-1.4289397824816306
1.789999999999913,-2.25276901716358,-0.8324273697101101,-1.9222574839475992,-2.184571958384288,-1.3466274257961532,-0.7473291014067751,-1.3236139094662531,-1.4097897722820332
1.799999999999912,-2.3232271050643374,-0.824409498628331,-2.0229884104885496,-2.3438170581762443,-1.3284342216818217,-0.7369039300077622,-1.3048774315506553,-1.389641402794177
1.8099999999999108,-2.39730368822615,-0.8898642186107723,-2.105849651674251,-2.4058197275173514,-1.3104675899661038,-0.7250476146778646,-1.29051275261999,-1.3723608440094583
1.8199999999999097,-2.4753906512813284,-0.897781198741567,-0.9771156472587283,-3.0059791570834022,-1.2927219566726798,-0.7122751868185186,-1.2697999360720023,-1.3522393898064624
1.8299999999999086,-2.5579472037957904,-0.9077182363287795,-2.241690492423542,-2.408285270800121,-1.2751919510189678,-0.7026583307751162,-1.2528183691258084,-1.3342981596684542
1.8399999999999075,-2.6455162437865485,-0.9054115759079203,-2.314830586251874,-2.479363980575211,-1.257872395658279,-0.6911586841872596,-1.2374483656095248,-1.3162127220776976
1.8499999999999064,-2.73874601620167,-1.0055770338934367,-2.3835183932146693,-2.5663223644524167,-1.2407582975007703,-0.6815196778129073,-1.2188230744777098,-1.2993691712088211
