mu0,ReW0E1,ReW0E2,ReW0E3,ImW0E1,ImW0E2,ImW0E3,absW0E1,absW0E2,absW0E3,ReW1E1,ReW1E2,ReW1E3,ImW1E1,ImW1E2,ImW1E3,absW1E1,absW1E2,absW1E3
2.509999999999968,2.0025102503495873,-0.5102509999987959,-1.2294620245439183,0.0,0.0,0.0,2.0025102503495873,0.5102509999987959,1.2294620245439183,-1000.0002509999999,0.7524902509999839,1.2227032394717485,0.0,0.0,0.0,1000.0002509999999,0.7524902509999839,1.2227032394717485
2.5149999999999677,2.0025152508651445,-0.5152514999995361,-1.2274151755269074,0.0,0.0,0.0,2.0025152508651445,0.5152514999995361,1.2274151755269074,-1000.0002514999999,0.7549852514999839,1.2206608909547108,0.0,0.0,0.0,1000.0002514999999,0.7549852514999839,1.2206608909547108
2.5199999999999676,2.002520251949136,-0.5202520000002764,-1.2253649055559794,0.0,0.0,0.0,2.002520251949136,0.5202520000002764,1.2253649055559794,-1000.0002519999999,0.7574802519999839,1.218615121484865,0.0,0.0,0.0,1000.0002519999999,0.7574802519999839,1.218615121484865
2.5249999999999675,2.002525252464693,-0.5252524999999064,-1.2233111974032131,0.0,0.0,0.0,2.002525252464693,0.5252524999999064,1.2233111974032131,-1000.0002525000001,0.7599752524999839,1.2165659138317941,0.0,0.0,0.0,1000.0002525000001,0.7599752524999839,1.2165659138317941
2.5299999999999674,2.0025302529802502,-0.5302530000006467,-1.2212540336945814,0.0,0.0,0.0,2.0025302529802502,0.5302530000006467,1.2212540336945814,-1000.0002530000002,0.7624702529999838,1.2145132506223024,0.0,0.0,0.0,1000.0002530000002,0.7624702529999838,1.2145132506223024
2.5349999999999673,2.002535252927373,-0.5352535000002767,-1.21919339690773,0.0,0.0,0.0,2.002535252927373,0.5352535000002767,1.21919339690773,-1000.0002534999999,0.7649652534999837,1.212457114335146,0.0,0.0,0.0,1000.0002534999999,0.7649652534999837,1.212457114335146
2.539999999999967,2.0025402534429304,-0.5402539999999068,-1.2171292693729088,0.0,0.0,0.0,2.0025402534429304,0.5402539999999068,1.2171292693729088,-1000.0002539999999,0.7674602539999836,1.2103974873002976,0.0,0.0,0.0,1000.0002539999999,0.7674602539999836,1.2103974873002976
2.544999999999967,2.0025452533900534,-0.5452544999995368,-1.2150616332710125,0.0,0.0,0.0,2.0025452533900534,0.5452544999995368,1.2150616332710125,-1000.0002545,0.7699552544999836,1.208334351698374,0.0,0.0,0.0,1000.0002545,0.7699552544999836,1.208334351698374
2.549999999999967,2.002550255042479,-0.5502549999991668,-1.212990470629006,0.0,0.0,0.0,2.002550255042479,0.5502549999991668,1.212990470629006,-1000.0002549999999,0.7724502549999834,1.20626768955634,0.0,0.0,0.0,1000.0002549999999,0.7724502549999834,1.20626768955634
2.554999999999967,2.0025552544211678,-0.5552554999999071,-1.2109157633204122,0.0,0.0,0.0,2.0025552544211678,0.5552554999999071,1.2109157633204122,-1000.0002555000001,0.7749452554999835,1.2041974827488295,0.0,0.0,0.0,1000.0002555000001,0.7749452554999835,1.2041974827488295
2.5599999999999667,2.0025602560735933,-0.5602560000006473,-1.2088374930659644,0.0,0.0,0.0,2.0025602560735933,0.5602560000006473,1.2088374930659644,-1000.0002559999999,0.7774402559999835,1.2021237129929667,0.0,0.0,0.0,1000.0002559999999,0.7774402559999835,1.2021237129929667
